"entryID";"content";"category";"gender";"variantOf";"feminineOf";"phonetic1";"phonetic2";"originatingEntry";"processStatus";"typeModif";"raisonModif";"destinataireModif";"dateModif";"commentaireModif"
"80162";"modus vivendi";"commonNoun";"masculine";NULL;NULL;"m O d y s v i v e~ d i";"m O/ d y s v i v e~ d i";"MODUS VIVENDI, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"80171";"se moinifier";"verb";NULL;NULL;NULL;"m w a n i f j e";"m w a n i f j e";"MOINE, subst. masc.#vedette2:Moinifier (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"80322";"se monomaniser";"verb";NULL;NULL;NULL;"m O n O m a n i z e";"m O/ n O/ m a n i z e";"MONOMANIE, subst. fém.#vedette2:Monomaniser (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"80385";"se monotoniser";"verb";NULL;NULL;NULL;"m O n O t O n i z e";"m O/ n O/ t O/ n i z e";"MONOTONIE, subst. fém.#vedette2:Monotoniser (se), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"80544";"motu proprio";"commonNoun";"masculine";NULL;NULL;"m O t y p R O p R i j o";"m O/ t y p R O/ p R i j o";"MOTU PROPRIO, subst. masc. et loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"80545";"motu proprio";"functionWord";NULL;NULL;NULL;"m O t y p R O p R i j o";"m O/ t y p R O/ p R i j o";"MOTU PROPRIO, subst. masc. et loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"80575";"moyennant que";"functionWord";NULL;NULL;NULL;"m w a j E n a~ k @";"m w a j E/ n a~ k @";"MOYENNANT, loc. prép.;MOYENNANT QUE, loc. conj.";"0";NULL;NULL;NULL;NULL;NULL
"80742";"muse de blé";"commonNoun";"feminine";NULL;NULL;"m y z @ d @ b l e";"m y z @ d @ b l e";"MUSETTE1 subst. fém.#vedette2:Muse de blé, subst. fém.,";"0";NULL;NULL;NULL;NULL;NULL
"80773";"mutatis mutandis";"functionWord";NULL;NULL;NULL;"m y t a t i m y t a~ d i";"m y t a t i m y t a~ d i";"MUTATIS MUTANDIS, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"81012";"naturalibus in";"functionWord";NULL;NULL;NULL;"i n n a t y R a l i b u s";"i n n a t y R a l i b u s";"NATURALIBUS (IN), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"81013";"nature morte";"commonNoun";"feminine";NULL;NULL;"n a t y R @ m O R t @";"n a t y R @ m O R t @";"NATURE MORTE, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"81048";"nec plus ultra";"commonNoun";"masculine";NULL;NULL;"n E k p l y z y l t R a";"n E k p l y z y l t R a";"NEC PLUS ULTRA, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"81254";"n'est-ce pas";"functionWord";NULL;NULL;NULL;"n e s @ p a";"n e s @ p a";"N'EST-CE PAS, loc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"81260";"neuf-huit à";"functionWord";NULL;NULL;NULL;"a n 9 f H i t";"a n 9 f H i t";"NEUF-HUIT (À), loc. adj. inv.";"0";NULL;NULL;NULL;NULL;NULL
"81318";"ne varietur";"functionWord";NULL;NULL;NULL;"n e v a R j e t y R";"n e v a R j e t y R";"NE VARIETUR, loc. adv. et adj.";"0";NULL;NULL;NULL;NULL;NULL
"81319";"ne varietur";"adjective";NULL;NULL;NULL;"n e v a R j e t y R";"n e v a R j e t y R";"NE VARIETUR, loc. adv. et adj.";"0";NULL;NULL;NULL;NULL;NULL
"81336";"nez coupé";"commonNoun";"masculine";NULL;NULL;"n e k u p e";"n e k u p e";"NEZ, subst. masc.#vedette2:Nez coupé, subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"81337";"nez-de -chat";"commonNoun";"masculine";NULL;NULL;"n e d @ S a";"n e d @ S a";"NEZ, subst. masc.#vedette2:Nez(-)de (-)chat, Nez(-)de(-)chats, (Nez de chat, Nez-de -chat, Nez de chats, Nez-de-chats)subst. mas";"1";NULL;NULL;NULL;NULL;NULL
"81340";"nez-de -cochon";"commonNoun";"masculine";NULL;NULL;"n e d @ k O S o~";"n e d @ k O/ S o~";"NEZ, subst. masc.#vedette2:Nez(-)de (-)cochon, (Nez de cochon, Nez-de -cochon)subst. masc.";"1";NULL;NULL;NULL;NULL;NULL
"81438";"noli me tangere";"commonNoun";"masculine";NULL;NULL;"n O l i m e t a~ g E R e";"n O/ l i m e t a~ g E R E/";"NOLI ME TANGERE, subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"81441";"no man's land";"commonNoun";"masculine";NULL;NULL;"n o m a n s l a~ d";"n o m a n s l a~ d";"NO MAN'S LAND, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"81562";"non voulu";"commonNoun";"masculine";NULL;NULL;"n o~ v u l y";"n o~ v u l y";"VOULU, -UE, part. passé et adj.#vedette2:Non voulu, subst. masc. sing. à valeur de neutre.";"0";NULL;NULL;NULL;NULL;NULL
"81626";"nota bene";"functionWord";NULL;NULL;NULL;"n O t a b e n e";"n O/ t a b E/ n E/";"NOTA, NOTA BENE, loc. et subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"81627";"nota bene";"commonNoun";"masculine";NULL;NULL;"n O t a b e n e";"n O/ t a b E/ n E/";"NOTA, NOTA BENE, loc. et subst. masc. inv.";"0";NULL;NULL;NULL;NULL;NULL
"81703";"numerus clausus";"commonNoun";"masculine";NULL;NULL;"n y m e R y s k l o z y s";"n y m E/ R y s k l O/ z y s";"NUMERUS CLAUSUS, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"81732";"ô _";"functionWord";NULL;NULL;NULL;;;"GUÉ2(AU _/Ô _), loc. interjective";"0";NULL;NULL;NULL;NULL;NULL
"81774";"se obtuser";"verb";NULL;NULL;NULL;"O p t y z e";"O/ p t y z e";"OBTUS, -USE, adj.#vedette2:Obtuser (s'), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"81794";"occipito-vertébral -ale";"adjective";NULL;NULL;NULL;"O k s i p i t o v E R t e b R a l";"O/ k s i p i t o v E R t E/ b R a l";"OCCIPITO-, élém. de compos.#vedette3:occipito-vertébral -ale, -aux, adj.";"0";NULL;NULL;NULL;NULL;NULL
"81951";"oh la la";"interjection";NULL;NULL;NULL;"o l a l a";"o l a l a";"OH, HO1 interj.#vedette2:Oh là là, (Oh la la)interj.";"0";NULL;NULL;NULL;NULL;NULL
"81952";"oh là là";"interjection";NULL;NULL;NULL;;;"OH, HO1 interj.#vedette2:Oh là là, (Oh la la)interj.";"0";NULL;NULL;NULL;NULL;NULL
"81953";"oh! oh!";"interjection";NULL;NULL;NULL;;;"OH, HO1 interj.#vedette2:Oh! oh!, ho! ho!, interj.";"0";NULL;NULL;NULL;NULL;NULL
"82048";"se ombiliquer";"verb";NULL;NULL;NULL;"o~ b i l i k e";"o~ b i l i k e";"OMBILICAL, -ALE, -AUX, adj.#vedette2:Ombiliquer (s'), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"82050";"omble de fontaine";"commonNoun";"masculine";NULL;NULL;"o~ b l @ d @ f o~ t E n @";"o~ b l @ d @ f o~ t E n @";"OMBLE, subst. masc.#vedette2:Omble de fontaine, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82108";"one-man show";"commonNoun";"masculine";NULL;NULL;"w a n m E n S O";"w a n m E n S O";"SHOW, subst. masc.#vedette2:One(-)man show, (One man show, One-man show)subst. masc.";"1";NULL;NULL;NULL;NULL;NULL
"82113";"one woman show";"commonNoun";"masculine";NULL;NULL;"w a n w O m a n S O";"w a n w O m a n S O";"SHOW, subst. masc.#vedette2:One woman show, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82184";"opéra bouffe";"commonNoun";"masculine";NULL;NULL;"O p e R a b u f @";"O/ p E/ R a b u f @";"OPÉRA BOUFFE, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82356";"se originer";"verb";NULL;NULL;NULL;"O R i Z i n e";"O/ R i Z i n e";"ORIGINE, subst. fém.#vedette2:Originer (s'), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"82491";"osso buco";"commonNoun";"masculine";NULL;NULL;"O s o b y k o";"O/ s o b y k o";"OSSO BUCO, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82529";"se ostiner";"verb";NULL;NULL;NULL;"O s t i n e";"O/ s t i n e";"OBSTINER, verbe trans.#vedette2:Ostiner (s'), astiner (s'), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"82576";"ou anti-histaminique";"adjective";NULL;NULL;NULL;;;"HISTAMINE, subst. fém.#vedette2:Antihistaminiqueou anti-histaminique, adj. et subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82577";"ou anti-histaminique";"commonNoun";"masculine";NULL;NULL;;;"HISTAMINE, subst. fém.#vedette2:Antihistaminiqueou anti-histaminique, adj. et subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82578";"ou bennettitées";"commonNoun";"feminine";NULL;NULL;;;"BENNETTITE, subst. fém.#vedette2:Bennettitales(ou Bennettitées, )subst. fém. plur.";"0";NULL;NULL;NULL;NULL;NULL
"82580";"ou brésiline";"commonNoun";"feminine";NULL;NULL;;;"BRÉSIL, subst. masc.#vedette2:Brésiléine, ou brésiline, subst. fém.,";"0";NULL;NULL;NULL;NULL;NULL
"82581";"ou bricage";"commonNoun";"masculine";NULL;NULL;;;"BRIQUER1 verbe trans.#vedette2:Briquageou bricage, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82582";"ou chétivité";"commonNoun";"feminine";NULL;NULL;;;"CHÉTIF, IVE, adj.#vedette2:Chétivetéou chétivité, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"82583";"ou cliché simili";"commonNoun";"masculine";NULL;NULL;;;"SIMILIGRAVURE, subst. fém.#vedette2:Similiou cliché simili, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82584";"ou condyloïdien";"adjective";NULL;NULL;NULL;;;"CONDYLE, subst. masc.#vedette2:Condyloïdeou condyloïdien, ienne, adj.";"0";NULL;NULL;NULL;NULL;NULL
"82585";"ou déglacement";"commonNoun";"masculine";NULL;NULL;;;"DÉGLACER, verbe trans.#vedette2:Déglaçageou déglacement, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82594";"ou fusiniste";"commonNoun";"masculine";NULL;NULL;;;"FUSAIN, subst. masc.#vedette2:Fusainisteou fusiniste, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82595";"ou grés";"commonNoun";"masculine";NULL;NULL;;;"GRÈS1, subst. masc.#vedette2:Grès, ou grés, subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"82596";"ou hale-bas";"commonNoun";"masculine";NULL;NULL;;;"HALER1 verbe#vedette2:Halebasou hale-bas, subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"82597";"ou hétéroclitisme";"commonNoun";"masculine";NULL;NULL;;;"HÉTÉROCLITE, adj.#vedette2:Hétéroclismeou hétéroclitisme, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82602";"ou indémonstrabilité";"commonNoun";"feminine";NULL;NULL;;;"INDÉMONTRABLE, adj.#vedette2:Indémontrabilitéou indémonstrabilité, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"82603";"ou kilomètre-passager";"commonNoun";"masculine";NULL;NULL;;;"PASSAGER1, -ÈRE, adj. et subst.#vedette2:Passager-kilomètreou kilomètre-passager, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82605";"ou novelliste";"commonNoun";NULL;NULL;NULL;;;"NOUVELLISTE2 subst.#vedette2:Novélisteou novelliste, subst.,";"0";NULL;NULL;NULL;NULL;NULL
"82606";"ou plus rarement démosthénique";"adjective";NULL;NULL;NULL;;;"DÉMOSTHÈNE, subst. masc.#vedette2:Démosthénien, ou plus rarement démosthénique, adj.";"0";NULL;NULL;NULL;NULL;NULL
"82607";"ou quodlibétal";"adjective";NULL;NULL;NULL;;;"QUOLIBET, QUODLIBET, subst. masc.#vedette2:Quodlibétaireou quodlibétal, -aleou quodlibétique, adj.";"0";NULL;NULL;NULL;NULL;NULL
"82608";"ou quodlibétique";"adjective";NULL;NULL;NULL;;;"QUOLIBET, QUODLIBET, subst. masc.#vedette2:Quodlibétaireou quodlibétal, -aleou quodlibétique, adj.";"0";NULL;NULL;NULL;NULL;NULL
"82610";"ou rav";"commonNoun";"masculine";NULL;NULL;;;"RABBI, subst. masc.#vedette2:Rabou Rav, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82611";"ou respire";"commonNoun";"masculine";NULL;NULL;;;"RESPIRER, verbe#vedette2:Respirou respire, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82616";"ou syphilophobie";"commonNoun";"feminine";NULL;NULL;;;"SYPHILIS, subst. fém.#vedette2:Syphilidophobieou syphilophobie, subst. fém.,";"0";NULL;NULL;NULL;NULL;NULL
"82630";"outre-tombe d'";"functionWord";NULL;NULL;NULL;"d u t R @ t o~ b @";"d u t R @ t o~ b @";"OUTRE-TOMBE (D'), loc. adj. et adv.";"0";NULL;NULL;NULL;NULL;NULL
"82631";"ou triskèle";"commonNoun";"masculine";NULL;NULL;;;"TRIQUÈTRE, subst. masc. ou fém.#vedette2:Triscèleou triskèle, subst. masc. ou fém.";"0";NULL;NULL;NULL;NULL;NULL
"82632";"ou triskèle";"commonNoun";"feminine";NULL;NULL;;;"TRIQUÈTRE, subst. masc. ou fém.#vedette2:Triscèleou triskèle, subst. masc. ou fém.";"0";NULL;NULL;NULL;NULL;NULL
"82633";"ou vaccinoprophylaxie";"commonNoun";"feminine";NULL;NULL;;;"VACCIN, subst. masc.#vedette2:Vaccinopréventionou vaccinoprophylaxie, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"82634";"ou vénérologie";"commonNoun";"feminine";NULL;NULL;;;"VÉNÉRIEN, -IENNE, adj.#vedette2:Vénéréologieou vénérologie, subst. fém.,";"0";NULL;NULL;NULL;NULL;NULL
"82635";"ou vénérologue";"commonNoun";NULL;NULL;NULL;;;"VÉNÉRIEN, -IENNE, adj.#vedette2:Vénérologisteou vénérologue, subst.,";"0";NULL;NULL;NULL;NULL;NULL
"82643";"over arm stroke";"commonNoun";"masculine";NULL;NULL;"O v e R a R m s t R o k";"O/ v e R a R m s t R o k";"OVER ARM STROKE, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"82883";"se palucher";"verb";NULL;NULL;NULL;"p a l y S e";"p a l y S e";"PALUCHE, subst. fém.#vedette2:Palucher (se), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"83103";"parce que";"functionWord";NULL;NULL;NULL;"p a R s @ k @";"p a R s @ k @";"PARCE QUE, loc. conj.";"0";NULL;NULL;NULL;NULL;NULL
"83164";"se paroxyser";"verb";NULL;NULL;NULL;"p a R O k s i z e";"p a R O/ k s i z e";"PAROXYSME, subst. masc.#vedette2:Paroxyser (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"83325";"se patriciser";"verb";NULL;NULL;NULL;"p a t R i s i z e";"p a t R i s i z e";"PATRICIEN, -IENNE, subst. et adj.#vedette2:Patriciser (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"83378";"se peausser";"verb";NULL;NULL;NULL;"p o s e";"p O/ s e";"PEAU, subst. fém.#vedette2:Peausser (se), verbe pronom. réfl.,";"0";NULL;NULL;NULL;NULL;NULL
"83432";"peigne- détacheur";"commonNoun";"masculine";NULL;NULL;"p E J @ d e t a S 9 R";"p E/ J @ d E/ t a S 9 R";"PEIGNE, subst. masc.#vedette2:Peigne-, élém. de compos.Peigne(-)battant, peigne(-) détacheur, (Peigne battant, Peigne-battant, p";"0";NULL;NULL;NULL;NULL;NULL
"83438";"peine à";"functionWord";NULL;NULL;NULL;"a p E n @";"a p E n @";"PEINE (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"83495";"pendant que";"functionWord";NULL;NULL;NULL;"p a~ d a~ k @";"p a~ d a~ k @";"PENDANT3 prép.;PENDANT QUE, loc. conj.";"0";NULL;NULL;NULL;NULL;NULL
"83761";"perpète à";"functionWord";NULL;NULL;NULL;"a p E R p E t @";"a p E R p E t @";"PERPÈTE (À), loc. adv. ou adj.";"0";NULL;NULL;NULL;NULL;NULL
"83762";"perpète à";"adjective";NULL;NULL;NULL;"a p E R p E t @";"a p E R p E t @";"PERPÈTE (À), loc. adv. ou adj.";"0";NULL;NULL;NULL;NULL;NULL
"83791";"persona grata";"commonNoun";"feminine";NULL;NULL;"p E R s O n a g R a t a";"p E R s O/ n a g R a t a";"PERSONA GRATA, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"83838";"petit mont";"commonNoun";"masculine";NULL;NULL;"p @ t i m o~";"p @ t i m o~";"MONT-DE-PIÉTÉ, subst. masc.#vedette2:Petit mont, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"83839";"petit navire";"commonNoun";"masculine";NULL;NULL;"p @ t i n a v i R @";"p @ t i n a v i R @";"NAVIRE, subst. masc.#vedette2:Petit navire, subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"83866";"p et t";"commonNoun";"masculine";NULL;NULL;"p e e t e";"p e e t e";"P.T.T., subst. masc. plur.#vedette2:P(.) et T(.), subst. masc. plur.";"0";NULL;NULL;NULL;NULL;NULL
"83867";"p et t.";"commonNoun";"masculine";NULL;NULL;;;"P.T.T., subst. masc. plur.#vedette2:P(.) et T(.), subst. masc. plur.";"0";NULL;NULL;NULL;NULL;NULL
"83868";"p. et t";"commonNoun";"masculine";NULL;NULL;;;"P.T.T., subst. masc. plur.#vedette2:P(.) et T(.), subst. masc. plur.";"0";NULL;NULL;NULL;NULL;NULL
"84034";"se philosophier";"verb";NULL;NULL;NULL;"f i l O z O f j e";"f i l O/ z O/ f j e";"PHILOSOPHIE1 subst. fém.#vedette2:Philosophier (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"84363";"pible à";"functionWord";NULL;NULL;NULL;"a p i b l @";"a p i b l @";"PIBLE (À), loc. adj.";"0";NULL;NULL;NULL;NULL;NULL
"84644";"plan plan";"onomatopoeia";NULL;NULL;NULL;"p l a~ p l a~";"p l a~ p l a~";"RATAPLAN, onomat.#vedette2:Plan plan, onomat.";"0";NULL;NULL;NULL;NULL;NULL
"84704";"plat de côte";"commonNoun";"masculine";NULL;NULL;"p l a d @ k o t @";"p l a d @ k o t @";"PLAT DE CÔTE(S), (PLAT DE CÔTE, PLAT DE CÔTES)subst. masc.;PLATE-CÔTE, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"84705";"plat de côtes";"commonNoun";"masculine";NULL;NULL;"p l a d @ k o t @";"p l a d @ k o t @";"PLAT DE CÔTE(S), (PLAT DE CÔTE, PLAT DE CÔTES)subst. masc.;PLATE-CÔTE, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"84826";"se plumarder";"verb";NULL;NULL;NULL;"p l y m a R d e";"p l y m a R d e";"PLUMARD, subst. masc.#vedette2:(Se) plumarder, verbe,";"0";NULL;NULL;NULL;NULL;NULL
"84836";"plupart la";"commonNoun";"feminine";NULL;NULL;"p l y p a R l a";"p l y p a R l a";"PLUPART (LA), subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"84857";"plus rarement glucoprotéide";"commonNoun";"masculine";NULL;NULL;"p l y R a R @ m a~ g l y k O p R O t e i d @";"p l y R a R @ m a~ g l y k O/ p R O/ t E/ i d @";"GLUC(O)-, GLYC(O)-, (GLUC-, GLUCO-, GLYC-, GLYCO-)élém. formant#vedette3:glycoprotéide(plus rarement glucoprotéide), subst. masc";"0";NULL;NULL;NULL;NULL;NULL
"84858";"plus rarement glucoprotéine";"commonNoun";"feminine";NULL;NULL;"p l y R a R @ m a~ g l y k O p R O t e i n @";"p l y R a R @ m a~ g l y k O/ p R O/ t E/ i n @";"GLUC(O)-, GLYC(O)-, (GLUC-, GLUCO-, GLYC-, GLYCO-)élém. formant#vedette3:glycoprotéine(plus rarement glucoprotéine), subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"84985";"poil à gratter";"commonNoun";"masculine";NULL;NULL;"p w a l a g R a t e";"p w a l a g R a t e";"POIL, subst. masc.#vedette2:Poil à gratter, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"84990";"point de vue";"commonNoun";"masculine";NULL;NULL;"p w e~ d @ v y";"p w e~ d @ v y";"POINT DE VUE, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"85013";"se poivroter";"verb";NULL;NULL;NULL;"p w a v R O t e";"p w a v R O/ t e";"POIVROT, -OTE, subst.#vedette2:Poivroter (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"85026";"pole- position";"commonNoun";"feminine";NULL;NULL;"p O l @ p O z i s j o~";"p O l @ p O/ z i s j o~";"POSITION, subst. fém.#vedette2:Pole(-) position, (Pole position, Pole- position)subst. fém.,";"1";NULL;NULL;NULL;NULL;NULL
"85139";"pomme de terre";"commonNoun";"feminine";NULL;NULL;"p O m @ d @ t E R @";"p O m @ d @ t E R @";"POMME DE TERRE, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"85314";"poste à";"functionWord";NULL;NULL;NULL;"a p O s t @";"a p O s t @";"POSTE (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"85428";"se pourlicher";"verb";NULL;NULL;NULL;"p u R l i S e";"p u R l i S e";"POURLÉCHER, verbe trans.#vedette2:Pourlicher (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"85429";"se pourmener";"verb";NULL;NULL;NULL;"p u R m @ n e";"p u R m @ n e";"PROMENER, verbe#vedette2:Pourmener (se), verbe pronom.,";"0";NULL;NULL;NULL;NULL;NULL
"85433";"pourvu que";"functionWord";NULL;NULL;NULL;"p u R v y k @";"p u R v y k @";"POURVU QUE, loc. conj.";"0";NULL;NULL;NULL;NULL;NULL
"85742";"premier pariste";"commonNoun";"masculine";NULL;NULL;"p R @ m j e p a R i s t @";"p R @ m j e p a R i s t @";"PREMIER(-)PARIS, (PREMIER PARIS, PREMIER-PARIS)subst. masc.#vedette2:Premier pariste, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"85953";"pretium doloris";"commonNoun";"masculine";NULL;NULL;"p R e s j O m d O l O R i s";"p R E/ s j O m d O/ l O/ R i s";"PRETIUM DOLORIS, subst. masc.";"0";NULL;NULL;NULL;NULL;NULL
"85990";"prima donna";"commonNoun";"feminine";NULL;NULL;"p R i m a d O n a";"p R i m a d O/ n a";"PRIMA DONNA, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"86083";"pro domo";"functionWord";NULL;NULL;NULL;"p R o d O m o";"p R o d O/ m o";"PRO DOMO, loc. adv. et adj. inv.";"0";NULL;NULL;NULL;NULL;NULL
"86084";"pro domo";"adjective";NULL;NULL;NULL;"p R o d O m o";"p R o d O/ m o";"PRO DOMO, loc. adv. et adj. inv.";"0";NULL;NULL;NULL;NULL;NULL
"86103";"professo ex";"functionWord";NULL;NULL;NULL;"E k s p R o f E s o";"E k s p R O/ f E s o";"PROFESSO (EX), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"86108";"pro forma";"functionWord";NULL;NULL;NULL;"p R o f O R m a";"p R o f O R m a";"PRO FORMA, loc. adj. inv.";"0";NULL;NULL;NULL;NULL;NULL
"86865";"quand est-ce";"commonNoun";"masculine";NULL;NULL;"k a~ t e s @";"k a~ t e s @";"QUAND, adv. et conj.#vedette2:Quand est-ce, subst. masc.,";"0";NULL;NULL;NULL;NULL;NULL
"86866";"quant à";"functionWord";NULL;NULL;NULL;"k a~ t a";"k a~ t a";"QUANT À, loc. prép.";"0";NULL;NULL;NULL;NULL;NULL
"86873";"quarante en";"functionWord";NULL;NULL;NULL;"a~ k a R a~ t @";"a~ k a R a~ t @";"QUARANTE (EN), loc. adj. et adv.";"0";NULL;NULL;NULL;NULL;NULL
"86959";"quat'z arts";"commonNoun";"masculine";NULL;NULL;"k a t z a R";"k a t z a R";"QUATRE(-), (QUATRE , QUATRE-)élém. de compos.#vedette2:Quat'z Arts, subst. masc. plur.,";"0";NULL;NULL;NULL;NULL;NULL
"86979";"question piège";"commonNoun";"feminine";NULL;NULL;"k E s t j o~ p j E Z @";"k E s t j o~ p j E Z @";"QUESTION1 subst. fém.#vedette2:Question piège, subst. fém.";"0";NULL;NULL;NULL;NULL;NULL
"86995";"quia à";"functionWord";NULL;NULL;NULL;"a k H i j a";"a k H i j a";"QUIA (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"87078";"se rabîmer";"verb";NULL;NULL;NULL;"R a b i m e";"R a b i m e";"RE-, RÉ-, R-, préf.#vedette3:rabîmer (se), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"87471";"se rebaigner";"verb";NULL;NULL;NULL;"R @ b E J e";"R @ b E/ J e";"RE-, RÉ-, R-, préf.#vedette3:rebaigner (se), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"87502";"rebrousse-poil à";"functionWord";NULL;NULL;NULL;"a R @ b R u s @ p w a l";"a R @ b R u s @ p w a l";"REBROUSSE-POIL (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"87580";"se recroire";"verb";NULL;NULL;NULL;"R @ k R w a R @";"R @ k R w a R @";"RE-, RÉ-, R-, préf.#vedette3:recroire (se), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"87612";"recto tono";"functionWord";NULL;NULL;NULL;"R E k t o t O n o";"R E k t o t O/ n o";"RECTO TONO, loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"87617";"reculons à";"functionWord";NULL;NULL;NULL;"a R @ k y l o~";"a R @ k y l o~";"RECULONS (À), loc. adv.";"0";NULL;NULL;NULL;NULL;NULL
"87634";"se redingoter";"verb";NULL;NULL;NULL;"R @ d e~ g O t e";"R @ d e~ g O/ t e";"REDINGOTE, subst. fém.#vedette2:Redingoter (se), verbe pronom. réfl.,";"0";NULL;NULL;NULL;NULL;NULL
"87640";"se redisperser";"verb";NULL;NULL;NULL;"R @ d i s p E R s e";"R @ d i s p E R s e";"RE-, RÉ-, R-, préf.#vedette3:redisperser (se), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"87644";"redresse à la";"functionWord";NULL;NULL;NULL;"a l a R @ d R E s @";"a l a R @ d R E s @";"REDRESSE (À LA), loc. adj.";"0";NULL;NULL;NULL;NULL;NULL
"87657";"se réemparer";"verb";NULL;NULL;NULL;"R e a~ p a R e";"R E/ a~ p a R e";"RE-, RÉ-, R-, préf.#vedette3:réemparer (se), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"87668";"se réengouffrer";"verb";NULL;NULL;NULL;"R e a~ g u f R e";"R E/ a~ g u f R e";"RE-, RÉ-, R-, préf.#vedette3:réengouffrer (se), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
"87669";"se réenivrer";"verb";NULL;NULL;NULL;"R e a~ n i v R e";"R E/ a~ n i v R e";"RE-, RÉ-, R-, préf.#vedette3:réenivrer (se), verbe pronom. réfl.";"0";NULL;NULL;NULL;NULL;NULL
"87677";"se réenvoler";"verb";NULL;NULL;NULL;"R e a~ v O l e";"R E/ a~ v O/ l e";"RE-, RÉ-, R-, préf.#vedette3:renvoler (se) réenvoler (se), verbe pronom.";"0";NULL;NULL;NULL;NULL;NULL
